yankfreq,yankP,yankfreqlog,metfreq,metP,metfreqlog
31,0.0000346,1.491361694,26,0.0000409,1.414973348
86,0.0004083,1.934498451,70,0.0004083,1.84509804
86,0.0004169,1.934498451,102,0.0005942,2.008600172
310,0.0004208,2.491361694,37,0.0007496,1.568201724
216,0.0005129,2.334453751,216,0.0008025,2.334453751
111,0.0005942,2.045322979,24,0.0010707,1.380211242
41,0.0007496,1.612783857,60,0.0011630,1.77815125
110,0.0009396,2.041392685,10,0.0015083,1
34,0.0010707,1.531478917,142,0.0015494,2.152288344
24,0.0015083,1.380211242,57,0.0016155,1.755874856
150,0.0015494,2.176091259,163,0.0017448,2.212187604
85,0.0015519,1.929418926,12,0.0017986,1.079181246
69,0.0016155,1.838849091,249,0.0021338,2.396199347
12,0.0017986,1.079181246,91,0.0022716,1.959041392
16,0.0027778,1.204119983,18,0.0022758,1.255272505
47,0.0030769,1.672097858,8,0.0027778,0.903089987
12,0.0030864,1.079181246,3,0.0030864,0.477121255
13,0.0030864,1.113943352,11,0.0030864,1.041392685
171,0.0032106,2.23299611,6,0.0034602,0.77815125
221,0.0034078,2.344392274,346,0.0034892,2.539076099
10,0.0034483,1,284,0.0035373,2.45331834
225,0.0034568,2.352182518,224,0.0036357,2.350248018
9,0.0034602,0.954242509,108,0.0037730,2.033423755
174,0.0034822,2.240549248,21,0.0038168,1.322219295
71,0.0040014,1.851258349,115,0.0045708,2.06069784
169,0.0041723,2.227886705,12,0.0047733,1.079181246
95,0.0043330,1.977723605,6,0.0048662,0.77815125
393,0.0047468,2.59439255,43,0.0048744,1.633468456
64,0.0047648,1.806179974,123,0.0049195,2.089905111
13,0.0047733,1.113943352,6,0.0050761,0.77815125
315,0.0049470,2.498310554,9,0.0051139,0.954242509
49,0.0050505,1.69019608,190,0.0056420,2.278753601
8,0.0050761,0.903089987,13,0.0060423,1.113943352
88,0.0052751,1.944482672,63,0.0061193,1.799340549
138,0.0055741,2.139879086,4,0.0066007,0.602059991
42,0.0058340,1.62324929,75,0.0070772,1.875061263
21,0.0060423,1.322219295,5,0.0075188,0.698970004
5,0.0062500,0.698970004,25,0.0075758,1.397940009
18,0.0064862,1.255272505,110,0.0077187,2.041392685
11,0.0066007,1.041392685,6,0.0079051,0.77815125
280,0.0067876,2.447158031,291,0.0084697,2.463892989
600,0.0068594,2.77815125,193,0.0087464,2.285557309
7,0.0075188,0.84509804,18,0.0093897,1.255272505
45,0.0075758,1.653212514,93,0.0098131,1.968482949
29,0.0077577,1.462397998,27,0.0100381,1.431363764
7,0.0078125,0.84509804,22,0.0101578,1.342422681
4,0.0079051,0.602059991,64,0.0103499,1.806179974
397,0.0080798,2.598790507,43,0.0108074,1.633468456
69,0.0083734,1.838849091,113,0.0111787,2.053078443
118,0.0091088,2.071882007,4,0.0113208,0.602059991
87,0.0095939,1.939519253,80,0.0116054,1.903089987
10,0.0097744,1,17,0.0116766,1.230448921
63,0.0098912,1.799340549,7,0.0128205,0.84509804
22,0.0099404,1.342422681,2,0.0129870,0.301029996
22,0.0109266,1.342422681,16,0.0130719,1.204119983
54,0.0109290,1.73239376,23,0.0147727,1.361727836
42,0.0109890,1.62324929,417,0.0148731,2.620136055
9,0.0113208,0.954242509,22,0.0155587,1.342422681
15,0.0120348,1.176091259,40,0.0159408,1.602059991
38,0.0123239,1.579783597,46,0.0165358,1.662757832
6,0.0128205,0.77815125,93,0.0172763,1.968482949
1,0.0129870,0,6,0.0172840,0.77815125
16,0.0130719,1.204119983,65,0.0175052,1.812913357
157,0.0132196,2.195899652,106,0.0180090,2.025305865
71,0.0133625,1.851258349,29,0.0189266,1.462397998
96,0.0135973,1.982271233,4,0.0200000,0.602059991
9,0.0144568,0.954242509,36,0.0200458,1.556302501
32,0.0147727,1.505149978,262,0.0200465,2.418301291
184,0.0156640,2.264817823,41,0.0204078,1.612783857
19,0.0159042,1.278753601,7,0.0204918,0.84509804
244,0.0161243,2.387389826,37,0.0208454,1.568201724
397,0.0165081,2.598790507,3,0.0222222,0.477121255
7,0.0168067,0.84509804,134,0.0229000,2.127104798
302,0.0168938,2.480006943,47,0.0233906,1.672097858
185,0.0170237,2.267171728,35,0.0235209,1.544068044
11,0.0172840,1.041392685,36,0.0247009,1.556302501
2,0.0200000,0.301029996,27,0.0247131,1.431363764
8,0.0204918,0.903089987,3,0.0252976,0.477121255
29,0.0211431,1.462397998,10,0.0257353,1
180,0.0212365,2.255272505,43,0.0261081,1.633468456
20,0.0216885,1.301029996,8,0.0283457,0.903089987
23,0.0218224,1.361727836,25,0.0309306,1.397940009
22,0.0221130,1.342422681,145,0.0311896,2.161368002
1,0.0222222,0,5,0.0312500,0.698970004
26,0.0229028,1.414973348,28,0.0322234,1.447158031
609,0.0232205,2.784617293,74,0.0327936,1.86923172
42,0.0233449,1.62324929,12,0.0336538,1.079181246
7,0.0257353,0.84509804,4,0.0338983,0.602059991
189,0.0269302,2.276461804,144,0.0341336,2.158362492
181,0.0290636,2.257678575,77,0.0345659,1.886490725
49,0.0300090,1.69019608,469,0.0355535,2.671172843
3,0.0312500,0.477121255,3,0.0367816,0.477121255
30,0.0317899,1.477121255,125,0.0372080,2.096910013
9,0.0332326,0.954242509,4,0.0373832,0.602059991
113,0.0335373,2.053078443,1,0.0377358,0
6,0.0338983,0.77815125,334,0.0379294,2.523746467
44,0.0349242,1.643452676,14,0.0381959,1.146128036
25,0.0352060,1.397940009,21,0.0381971,1.322219295
9,0.0352806,0.954242509,19,0.0403779,1.278753601
11,0.0353084,1.041392685,14,0.0427046,1.146128036
17,0.0363516,1.230448921,49,0.0443787,1.69019608
58,0.0367520,1.763427994,76,0.0444233,1.880813592
39,0.0371398,1.591064607,11,0.0526738,1.041392685
1,0.0373832,0,10,0.0546318,1
1,0.0377358,0,484,0.0553428,2.684845362
27,0.0377715,1.431363764,60,0.0558433,1.77815125
110,0.0379863,2.041392685,2,0.0563380,0.301029996
10,0.0382353,1,23,0.0565679,1.361727836
294,0.0383704,2.46834733,134,0.0566916,2.127104798
11,0.0384615,1.041392685,3,0.0582524,0.477121255
141,0.0397358,2.149219113,8,0.0598659,0.903089987
114,0.0401548,2.056904851,12,0.0608614,1.079181246
13,0.0434581,1.113943352,8,0.0623112,0.903089987
470,0.0435125,2.672097858,335,0.0628407,2.525044807
21,0.0438023,1.322219295,12,0.0630584,1.079181246
10,0.0458333,1,9,0.0651341,0.954242509
30,0.0459459,1.477121255,12,0.0656168,1.079181246
43,0.0484350,1.633468456,2,0.0662651,0.301029996
18,0.0504417,1.255272505,13,0.0669827,1.113943352
24,0.0505102,1.380211242,15,0.0675676,1.176091259
56,0.0510108,1.748188027,7,0.0684524,0.84509804
48,0.0531103,1.681241237,135,0.0744084,2.130333768
34,0.0547004,1.531478917,6,0.0752381,0.77815125
2,0.0563380,0.301029996,31,0.0767807,1.491361694
19,0.0578313,1.278753601,2,0.0789474,0.301029996
37,0.0580693,1.568201724,27,0.0790960,1.431363764
8,0.0587349,0.903089987,245,0.0806773,2.389166084
19,0.0625585,1.278753601,11,0.0830966,1.041392685
7,0.0639098,0.84509804,22,0.0846011,1.342422681
28,0.0640264,1.447158031,2,0.0877193,0.301029996
7,0.0651341,0.84509804,8,0.0882353,0.903089987
52,0.0708538,1.716003344,12,0.0902256,1.079181246
31,0.0710619,1.491361694,49,0.0944936,1.69019608
8,0.0766129,0.903089987,13,0.0961969,1.113943352
54,0.0774020,1.73239376,18,0.0981308,1.255272505
15,0.0776758,1.176091259,22,0.0985922,1.342422681
16,0.0882353,1.204119983,23,0.1021394,1.361727836
147,0.0895510,2.167317335,21,0.1025641,1.322219295
11,0.0914286,1.041392685,41,0.1037794,1.612783857
55,0.0952136,1.740362689,12,0.1074181,1.079181246
20,0.0970315,1.301029996,5,0.1080214,0.698970004
12,0.1010499,1.079181246,3,0.1182796,0.477121255
20,0.1087302,1.301029996,8,0.1223242,0.903089987
32,0.1087454,1.505149978,5,0.1251748,0.698970004
14,0.1180888,1.146128036,12,0.1264498,1.079181246
30,0.1209040,1.477121255,5,0.1300000,0.698970004
29,0.1247763,1.462397998,1,0.1346154,0
1,0.1300000,0,14,0.1360813,1.146128036
17,0.1319279,1.230448921,9,0.1459459,0.954242509
15,0.1381995,1.176091259,2,0.1489362,0.301029996
6,0.1674641,0.77815125,19,0.1519957,1.278753601
5,0.1953125,0.698970004,26,0.1538462,1.414973348
22,0.2075099,1.342422681,6,0.1604167,0.77815125
4,0.2419786,0.602059991,16,0.1654685,1.204119983
13,0.2506513,1.113943352,2,0.1674641,0.301029996
4,0.3088235,0.602059991,14,0.1734382,1.146128036
5,0.3417476,0.698970004,2,0.1911765,0.301029996
4,0.3491124,0.602059991,35,0.1941660,1.544068044
2,0.3510638,0.301029996,4,0.1953125,0.602059991
2,0.3653846,0.301029996,7,0.2062553,0.84509804
7,0.4110997,0.84509804,1,0.4460432,0